2024-01-14 11:44:43,817 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:102] - DEBUG: 开始执行爬虫任务,当前文章数量为236
2024-01-14 11:44:54,039 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '难怪电视里只有上半身，镜头下移后，全是辣眼睛的尴尬全景！', 'article_url': 'https://toutiao.com/group/7322765849801228837/', 'read_count': 150404, 'publish_time': '2024-01-11T18:02:04', 'like_count': 608, 'comment_count': 17, 'behot_time': '2024-01-14T11:44:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,087 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '利智62岁幸福难掩，被李连杰抛弃的前妻黄秋燕，如今过得怎样了', 'article_url': 'https://toutiao.com/group/7307169548489261619/', 'read_count': 10994, 'publish_time': '2023-11-30T16:34:58', 'like_count': 313, 'comment_count': 18, 'behot_time': '2024-01-14T11:34:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,160 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '这3位女演员能火向全国，是因为她们踩中了，中国人审美3种性感', 'article_url': 'https://toutiao.com/group/7321600372127646220/', 'read_count': 24231, 'publish_time': '2024-01-08T17:29:51', 'like_count': 256, 'comment_count': 33, 'behot_time': '2024-01-14T11:24:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,241 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '微博之夜：秦岚丰满有料，赵露思太暴露，周冬雨肋骨条都勒出来了', 'article_url': 'https://toutiao.com/group/7323549557785215529/', 'read_count': 92719, 'publish_time': '2024-01-13T20:14:07', 'like_count': 285, 'comment_count': 28, 'behot_time': '2024-01-14T11:14:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,305 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '北京这一夜：主持出错、造型翻车，60岁叶童成为了清流', 'article_url': 'https://toutiao.com/group/7323566538840343074/', 'read_count': 30407, 'publish_time': '2024-01-13T21:07:05', 'like_count': 294, 'comment_count': 53, 'behot_time': '2024-01-14T11:04:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,376 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '当32岁肖战跟41岁胡歌站一起，我才彻底明白，什么叫顶级骨相', 'article_url': 'https://toutiao.com/group/7323460251980841483/', 'read_count': 139625, 'publish_time': '2024-01-13T14:23:40', 'like_count': 513, 'comment_count': 333, 'behot_time': '2024-01-14T10:54:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,431 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '“土到极致”的凤凰传奇，现在怎么样了', 'article_url': 'https://toutiao.com/group/7306773427195494952/', 'read_count': 39955, 'publish_time': '2023-11-29T20:37:00', 'like_count': 1231, 'comment_count': 9, 'behot_time': '2024-01-14T10:44:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,485 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '痴情的费玉清：告别初恋后终生未娶，与56岁红颜知己不离不弃', 'article_url': 'https://toutiao.com/group/7291956645435982377/', 'read_count': 54177, 'publish_time': '2023-10-21T08:00:00', 'like_count': 1122, 'comment_count': 27, 'behot_time': '2024-01-14T10:34:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,542 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '在澳门输钱最多的人，把一块地皮输给何鸿燊，如今地皮价值1千亿', 'article_url': 'https://toutiao.com/group/7294879144641577481/', 'read_count': 131806, 'publish_time': '2023-10-28T13:38:53', 'like_count': 726, 'comment_count': 86, 'behot_time': '2024-01-14T10:24:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,618 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '看了41岁孙俪现状，才明白《繁花》为何缺了孙俪，早已心照不宣', 'article_url': 'https://toutiao.com/group/7322349425869898266/', 'read_count': 183732, 'publish_time': '2024-01-10T14:25:31', 'like_count': 1365, 'comment_count': 331, 'behot_time': '2024-01-14T10:14:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,678 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '年轻帅的像教科书，如今却“毁容式”变老，这5位男星越活越走样', 'article_url': 'https://toutiao.com/group/7295721143708058139/', 'read_count': 56873, 'publish_time': '2023-10-30T22:30:00', 'like_count': 236, 'comment_count': 81, 'behot_time': '2024-01-14T10:04:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,749 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '刘楚恬：2岁出道年入百万，因长相甜美被禁止整容，如今长成啥样', 'article_url': 'https://toutiao.com/group/7297532077413728768/', 'read_count': 63229, 'publish_time': '2023-11-04T17:46:47', 'like_count': 485, 'comment_count': 38, 'behot_time': '2024-01-14T09:54:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,798 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '60岁韦唯现状：住纽约豪宅，家暴前夫已离世，3个儿子成最大心结', 'article_url': 'https://toutiao.com/group/7293780296267530788/', 'read_count': 411644, 'publish_time': '2023-10-25T15:01:17', 'like_count': 8264, 'comment_count': 153, 'behot_time': '2024-01-14T09:44:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,851 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '真实经历！他演济公后，接连发生3件怪事儿，至今仍未找到答案！', 'article_url': 'https://toutiao.com/group/7289317862462734902/', 'read_count': 496445, 'publish_time': '2023-10-17T08:00:00', 'like_count': 6920, 'comment_count': 217, 'behot_time': '2024-01-14T09:34:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,917 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '三个孩子也保不住婚姻？她也要步杨幂和baby的后尘了吗', 'article_url': 'https://toutiao.com/group/7322032716478759487/', 'read_count': 20489, 'publish_time': '2024-01-09T17:46:40', 'like_count': 110, 'comment_count': 9, 'behot_time': '2024-01-14T09:24:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:44:54,977 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:93] - DEBUG: 录入文章{'title': '脱衣容易穿衣难，这五个“一脱成名”的女星后悔了', 'article_url': 'https://toutiao.com/group/7322060054247899658/', 'read_count': 17601, 'publish_time': '2024-01-09T19:42:09', 'like_count': 151, 'comment_count': 5, 'behot_time': '2024-01-14T09:14:53', 'source': 'toutiao', 'domain': '测试'}
2024-01-14 11:45:01,237 - C:\Users\admin\PycharmProjects\pythonProject3\app\spiderTest2.py[line:145] - DEBUG: 爬虫任务执行结束
